fight_url,red_fighter,blue_fighter,red_fights,blue_fights,red_kd,blue_kd,delta_kd,red_sig_landed,blue_sig_landed,delta_sig_landed,red_sig_attempted,blue_sig_attempted,delta_sig_attempted,red_tot_landed,blue_tot_landed,delta_tot_landed,red_tot_attempted,blue_tot_attempted,delta_tot_attempted,red_td_landed,blue_td_landed,delta_td_landed,red_td_attempted,blue_td_attempted,delta_td_attempted,red_sub_att,blue_sub_att,delta_sub_att,red_rev,blue_rev,delta_rev,red_ctrl_sec,blue_ctrl_sec,delta_ctrl_sec,red_win
http://ufcstats.com/fight-details/420f7e6530dbc727,Shannon Ross,Jesus Aguilar,1,1,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0,,,0.0,1.0,2.0,-1.0,4.0,2.0,2.0,,,0.0,,,0.0,,,0.0,0
http://ufcstats.com/fight-details/20d8f6b4b7c8bae7,Robbie Lawler,Niko Price,24,13,,,0.0,66.50522088713421,58.114825774827,8.390395112307218,129.24655021063032,168.08360497282698,-38.83705476219666,,,0.0,,,0.0,77.6926133022466,77.385255441358,0.30735786088860095,139.41575459216185,187.61147900321902,-48.19572441105717,,,0.0,,,0.0,,,0.0,1
http://ufcstats.com/fight-details/6adfe44b110c1510,Albert Duraev,JunYong Park,3,8,,,0.0,20.19,22.746608900000002,-2.5566089000000005,81.6,40.9939662,40.60603379999999,,,0.0,,,0.0,29.38,20.1423378,9.237662199999999,89.27,37.7117274,51.558272599999995,,,0.0,,,0.0,,,0.0,0
http://ufcstats.com/fight-details/81b7a6aa147bd912,Norma Dumont,Chelsea Chandler,7,1,,,0.0,22.288407,34.0,-11.711593,68.63320300000001,64.0,4.633203000000009,,,0.0,,,0.0,29.01393,17.0,12.013929999999998,78.20515900000001,43.0,35.20515900000001,,,0.0,,,0.0,,,0.0,1
http://ufcstats.com/fight-details/b52dccbe69864d2a,Ottman Azaitar,Francisco Prado,3,1,,,0.0,8.7,18.0,-9.3,19.64,58.0,-38.36,,,0.0,,,0.0,9.25,28.0,-18.75,19.35,75.0,-55.65,,,0.0,,,0.0,,,0.0,0
http://ufcstats.com/fight-details/b4cc389bb4af3707,Austin Lingo,Melquizael Costa,4,1,,,0.0,34.288,2.0,32.288,122.957,19.0,103.957,,,0.0,,,0.0,55.086,21.0,34.086,152.453,45.0,107.453,,,0.0,,,0.0,,,0.0,0
http://ufcstats.com/fight-details/3624f4ae9c1d703e,Evan Elder,Genaro Valdez,2,2,,,0.0,21.1,20.9,0.20000000000000284,73.8,95.49999999999999,-21.69999999999999,,,0.0,,,0.0,49.8,30.8,18.999999999999996,107.7,111.69999999999999,-3.999999999999986,,,0.0,,,0.0,,,0.0,1
http://ufcstats.com/fight-details/cae7de0873e03947,Ashlee Evans-Smith,Ailin Perez,8,1,,,0.0,21.698892,7.0,14.698892,131.4308064,20.0,111.4308064,,,0.0,,,0.0,44.359222900000006,8.0,36.359222900000006,174.54767099999998,25.0,149.54767099999998,,,0.0,,,0.0,,,0.0,0
http://ufcstats.com/fight-details/57785c9be5b4526d,Alexander Munoz,Carl Deaton,2,1,,,0.0,37.6,1.0,36.6,117.80000000000001,10.0,107.80000000000001,,,0.0,,,0.0,63.8,1.0,62.8,156.1,12.0,144.1,,,0.0,,,0.0,,,0.0,1
http://ufcstats.com/fight-details/e4620f3fa451a3a4,Nazim Sadykhov,Terrance McKinney,1,5,,,0.0,38.0,12.2992,25.7008,103.0,40.9093,62.0907,,,0.0,,,0.0,54.0,12.3012,41.6988,118.0,40.2711,77.72890000000001,,,0.0,,,0.0,,,0.0,1
http://ufcstats.com/fight-details/8362b372adb2f302,Tucker Lutz,Melsik Baghdasaryan,3,3,,,0.0,18.26,12.18,6.080000000000002,58.9,31.21,27.689999999999998,,,0.0,,,0.0,25.9,33.959999999999994,-8.059999999999995,70.82,58.85000000000001,11.969999999999985,,,0.0,,,0.0,,,0.0,0
http://ufcstats.com/fight-details/8104fe27bdc46914,Paul Craig,Andre Muniz,14,6,,,0.0,4.355001677684701,20.2852,-15.930198322315299,24.327345944782202,69.25012,-44.92277405521779,,,0.0,,,0.0,9.02979375354,33.10834,-24.07854624646,31.145735131082304,85.51512,-54.36938486891769,,,0.0,,,0.0,,,0.0,1
http://ufcstats.com/fight-details/9541cf21e031354c,Nathaniel Wood,Andre Fili,8,18,,,0.0,61.4256976,37.00964517905797,24.41605242094203,151.3432594,98.45936099225422,52.883898407745775,,,0.0,,,0.0,83.9309325,45.14914568216952,38.78178681783048,176.9597715,110.21414982194895,66.74562167805104,,,0.0,,,0.0,,,0.0,1
http://ufcstats.com/fight-details/90e46589a18064bc,Tom Aspinall,Marcin Tybura,6,17,,,0.0,4.633860000000001,17.51852634634201,-12.884666346342009,10.070690000000003,72.78461369696977,-62.71392369696977,,,0.0,,,0.0,6.39915,39.71530816125142,-33.31615816125142,10.613570000000001,99.26228053424806,-88.64871053424807,,,0.0,,,0.0,,,0.0,1
http://ufcstats.com/fight-details/c4caa8a4f32a0eed,Jai Herbert,Fares Ziam,5,5,,,0.0,16.9201,26.003199999999996,-9.083099999999995,46.1272,65.025,-18.897800000000004,,,0.0,,,0.0,20.8489,34.7673,-13.918399999999998,50.8136,63.8073,-12.993699999999997,,,0.0,,,0.0,,,0.0,0
http://ufcstats.com/fight-details/743a04674ab72ee0,Molly McCann,Julija Stoliarenko,10,6,,,0.0,11.151821657000003,7.913420000000001,3.2384016570000016,27.110878945,22.22829,4.882588944999998,,,0.0,,,0.0,15.866891800000001,13.72215,2.144741800000002,32.86048976200001,29.749679999999998,3.1108097620000095,,,0.0,,,0.0,,,0.0,0
http://ufcstats.com/fight-details/3c4305abc2e302d0,Lerone Murphy,Josh Culibao,4,4,,,0.0,44.345,12.831000000000001,31.513999999999996,89.61,42.903,46.707,,,0.0,,,0.0,56.522,22.356,34.166,107.655,57.034000000000006,50.620999999999995,,,0.0,,,0.0,,,0.0,1
http://ufcstats.com/fight-details/b4e2037f180c1e0e,Davey Grant,Daniel Marcos,11,1,,,0.0,30.5823762232,31.0,-0.4176237767999993,106.08930802750001,52.0,54.08930802750001,,,0.0,,,0.0,63.565529440999995,36.0,27.565529440999995,151.2152549484,58.0,93.2152549484,,,0.0,,,0.0,,,0.0,0
http://ufcstats.com/fight-details/8b341eb556c97c23,Makhmud Muradov,Bryan Barberena,5,17,,,0.0,17.320300000000003,12.649105146133612,4.671194853866391,49.147000000000006,30.662211525155286,18.48478847484472,,,0.0,,,0.0,19.112800000000004,17.1180432223046,1.9947567776954038,48.45080000000001,36.60482170289907,11.845978297100935,,,0.0,,,0.0,,,0.0,1
http://ufcstats.com/fight-details/319b96f615a0a154,Marc Diakiese,Joel Alvarez,13,6,,,0.0,16.975580499080998,9.519200000000001,7.456380499080996,62.630669584274,18.024050000000003,44.606619584274,,,0.0,,,0.0,38.64265373509,11.007460000000002,27.63519373509,93.729872551219,18.44199,75.287882551219,,,0.0,,,0.0,,,0.0,0
http://ufcstats.com/fight-details/a0bc695b35f155f1,Ketlen Vieira,Pannie Kianzad,10,8,,,0.0,45.454136465000005,54.6414458,-9.187309334999995,124.89589945099999,128.8202108,-3.924311349000021,,,0.0,,,0.0,56.581469135,53.6671901,2.914279035,140.530911569,125.5653398,14.965571769000007,,,0.0,,,0.0,,,0.0,1
http://ufcstats.com/fight-details/a8a4c9f98ff73839,Chris Duncan,Yanal Ashmouz,1,1,,,0.0,12.0,14.0,-2.0,25.0,18.0,7.0,,,0.0,,,0.0,43.0,2.0,41.0,73.0,4.0,69.0,,,0.0,,,0.0,,,0.0,1
http://ufcstats.com/fight-details/800a35b3a7e52308,Jan Blachowicz,Alex Pereira,18,5,,,0.0,14.628950822961322,15.9014,-1.2724491770386788,40.3690302726366,41.584,-1.2149697273634033,,,0.0,,,0.0,33.39884080235564,52.7928,-19.393959197644357,70.00100988930322,92.7368,-22.735790110696783,,,0.0,,,0.0,,,0.0,0
http://ufcstats.com/fight-details/c27e33ee8ef53866,Dustin Poirier,Justin Gaethje,27,11,,,0.0,39.17560666309361,65.5097088747,-26.334102211606385,75.64673823270289,114.4880469466,-38.84130871389711,,,0.0,,,0.0,34.84106302382525,69.8096041419,-34.96854111807475,67.29267505143763,120.7791432,-53.486468148562366,,,0.0,,,0.0,,,0.0,0
http://ufcstats.com/fight-details/4327fe98e1b6f222,Gabriel Bonfim,Trevin Giles,1,11,,,0.0,6.0,38.320367095799995,-32.320367095799995,18.0,79.06929493589999,-61.06929493589999,,,0.0,,,0.0,9.0,29.869077013,-20.869077013,22.0,69.4430260898,-47.4430260898,,,0.0,,,0.0,,,0.0,1
http://ufcstats.com/fight-details/5116f9398bfca446,Roman Kopylov,Claudio Ribeiro,4,2,,,0.0,49.373,25.599999999999998,23.773,98.43199999999999,45.3,53.13199999999999,,,0.0,,,0.0,67.954,12.100000000000001,55.85399999999999,116.44800000000001,25.5,90.94800000000001,,,0.0,,,0.0,,,0.0,1
http://ufcstats.com/fight-details/eff6ec2b2f1fb27b,Derrick Lewis,Marcos Rogerio de Lima,26,16,,,0.0,2.2345970313930787,17.8214920283284,-15.586894996935321,5.389940028517655,30.679879251323314,-25.289939222805657,,,0.0,,,0.0,1.8377043470146508,44.216361927979115,-42.378657580964465,5.385838207492086,60.10283950400084,-54.717001296508755,,,0.0,,,0.0,,,0.0,1
http://ufcstats.com/fight-details/cbf1e76186a0c8b3,Michael Chiesa,Kevin Holland,17,17,,,0.0,15.728023703591008,28.40614423646843,-12.67812053287742,37.30063627224207,125.8993905863879,-88.59875431414582,,,0.0,,,0.0,14.271223628719033,64.65541794505219,-50.38419431633316,34.74106897974901,172.25111570699522,-137.51004672724622,,,0.0,,,0.0,,,0.0,0
http://ufcstats.com/fight-details/e5ac7343b6d45188,CJ Vergara,Vinicius Salvador,4,1,,,0.0,46.221,26.0,20.220999999999997,85.21,102.0,-16.790000000000006,,,0.0,,,0.0,30.991,39.0,-8.009,59.609,119.0,-59.391,,,0.0,,,0.0,,,0.0,1
http://ufcstats.com/fight-details/74fef059e229d217,Miranda Maverick,Priscila Cachoeira,7,8,,,0.0,33.178149,28.6765926,4.501556399999998,87.7675,61.07080920000001,26.696690799999992,,,0.0,,,0.0,48.90827899999999,25.071652800000003,23.83662619999999,105.70734,58.36742600000001,47.33991399999999,,,0.0,,,0.0,,,0.0,1
http://ufcstats.com/fight-details/3de326b65aa6245d,Matthew Semelsberger,Uros Medic,8,3,,,0.0,21.7618799,18.990000000000002,2.7718798999999983,54.029015400000006,46.65,7.379015400000007,,,0.0,,,0.0,18.178123499999998,33.38999999999999,-15.211876499999995,46.63531420000001,61.129999999999995,-14.494685799999985,,,0.0,,,0.0,,,0.0,0
