fight_url,round,fighter,kd,sig_landed,sig_attempted,sig_pct,tot_landed,tot_attempted,td_landed,td_attempted,td_pct,sub_att,rev,ctrl_sec
http://ufcstats.com/fight-details/46f81d5ecd974c1c,3,Nurullo Aliev Shem Rock,,,,20 of 42 2 of 15,,,,,25 of 47 10 of 27,,,0
http://ufcstats.com/fight-details/9027e156c6f1988a,3,Marek Bujlo Denzel Freeman,,,,1 of 2 5 of 11,,,,,14 of 26 13 of 22,,,0
http://ufcstats.com/fight-details/856f6ee049373843,5,Jack Della Maddalena Islam Makhachev,,,,3 of 14 0 of 5,,,,,4 of 18 3 of 7,,,0
http://ufcstats.com/fight-details/7606f6b6c19f2d73,5,Valentina Shevchenko Zhang Weili,,,,4 of 8 4 of 12,,,,,6 of 8 5 of 14,,,0
http://ufcstats.com/fight-details/477af74ea3cbba8b,1,Sean Brady Michael Morales,,,,5 of 15 24 of 50,,,,,8 of 22 21 of 47,,,0
http://ufcstats.com/fight-details/3c60884853766487,2,Leon Edwards Carlos Prates,,,,2 of 4 2 of 8,,,,,6 of 9 8 of 16,,,0
http://ufcstats.com/fight-details/9b5f190cd3f5ce16,1,Beneil Dariush Benoit Saint Denis,,,,0 of 2 3 of 5,,,,,2 of 4 0 of 1,,,0
http://ufcstats.com/fight-details/292b83afa418635f,3,Bo Nickal Rodolfo Vieira,,,,22 of 38 2 of 10,,,,,16 of 29 6 of 18,,,0
http://ufcstats.com/fight-details/ebb012c5f3fd0cbb,3,Roman Kopylov Gregory Rodrigues,,,,2 of 5 12 of 25,,,,,9 of 15 19 of 34,,,0
http://ufcstats.com/fight-details/909cd8633507a0c8,2,Erin Blanchfield Tracy Cortez,,,,32 of 80 25 of 64,,,,,42 of 91 31 of 72,,,0
http://ufcstats.com/fight-details/e313286b307334a7,3,Malcolm Wellmaker Ethyn Ewing,,,,7 of 11 8 of 25,,,,,11 of 15 7 of 20,,,0
http://ufcstats.com/fight-details/9bbdc2a2ab334541,1,Kyle Daukaus Gerald Meerschaert,,,,8 of 10 0 of 2,,,,,4 of 7 0 of 2,,,0
http://ufcstats.com/fight-details/e3cbd663732f4a98,3,Pat Sabatini Chepe Mariscal,,,,3 of 7 1 of 4,,,,,3 of 10 1 of 4,,,0
http://ufcstats.com/fight-details/6c2c6a6e3f4d04db,3,Angela Hill Fatima Kline,,,,5 of 17 20 of 37,,,,,7 of 23 13 of 25,,,0
http://ufcstats.com/fight-details/c037cf1f7b429d5e,3,Baisangur Susurkaev Eric McConico,,,,3 of 6 9 of 21,,,,,7 of 10 9 of 21,,,0
http://ufcstats.com/fight-details/1a5378e32e8519ef,3,Viacheslav Borshchev Matheus Camilo,,,,5 of 30 9 of 25,,,,,9 of 41 12 of 30,,,0
