fight_url,fighter,kd,sig_landed,sig_attempted,sig_pct,tot_landed,tot_attempted,td_landed,td_attempted,td_pct,sub_att,rev,ctrl_sec
http://ufcstats.com/fight-details/ebb012c5f3fd0cbb,Roman Kopylov Gregory Rodrigues,,,,56% 57%,,,,,100% 0%,,,31
http://ufcstats.com/fight-details/909cd8633507a0c8,Erin Blanchfield Tracy Cortez,,,,46% 42%,,,,,--- 0%,,,0
http://ufcstats.com/fight-details/e313286b307334a7,Malcolm Wellmaker Ethyn Ewing,,,,77% 41%,,,,,0% 100%,,,20
http://ufcstats.com/fight-details/9bbdc2a2ab334541,Kyle Daukaus Gerald Meerschaert,,,,72% 0%,,,,,--- ---,,,17
http://ufcstats.com/fight-details/e3cbd663732f4a98,Pat Sabatini Chepe Mariscal,,,,36% 25%,,,,,100% ---,,,159
http://ufcstats.com/fight-details/6c2c6a6e3f4d04db,Angela Hill Fatima Kline,,,,34% 56%,,,,,--- 100%,,,10
http://ufcstats.com/fight-details/c037cf1f7b429d5e,Baisangur Susurkaev Eric McConico,,,,76% 58%,,,,,40% ---,,,139
http://ufcstats.com/fight-details/1a5378e32e8519ef,Viacheslav Borshchev Matheus Camilo,,,,21% 40%,,,,,--- 66%,,,0
http://ufcstats.com/fight-details/4e224ebb6394611d,Gabriel Bonfim Randy Brown,,,,55% 31%,,,,,--- ---,,,0
http://ufcstats.com/fight-details/f7e9bd2d6f81aeae,Matt Schnell Joseph Morales,,,,36% 45%,,,,,100% ---,,,15
http://ufcstats.com/fight-details/b23fa678cc65cf5b,Muslim Salikhov Uros Medic,,,,40% 61%,,,,,--- ---,,,0
http://ufcstats.com/fight-details/20971ed9a842b0cb,Chris Padilla Ismael Bonfim,,,,54% 50%,,,,,--- 50%,,,143
http://ufcstats.com/fight-details/ac4343150638b635,Christian Leroy Duncan Marco Tulio,,,,44% 47%,,,,,100% 50%,,,61
http://ufcstats.com/fight-details/e3d657dd88864ba7,Hyder Amil Jamall Emmers,,,,36% 43%,,,,,0% 100%,,,17
http://ufcstats.com/fight-details/c6d56aad93f98249,Ricky Simon Raoni Barcelos,,,,46% 48%,,,,,0% 33%,,,45
http://ufcstats.com/fight-details/80eae31bc0a94a65,Mayra Bueno Silva Jacqueline Cavalcanti,,,,37% 52%,,,,,0% ---,,,57
http://ufcstats.com/fight-details/87dcb3eab20f6ac1,Josh Hokit Max Gimenis,,,,52% 42%,,,,,--- ---,,,8
http://ufcstats.com/fight-details/9126633d921afb57,Tecia Pennington Denise Gomes,,,,43% 40%,,,,,0% 33%,,,8
http://ufcstats.com/fight-details/238c274c90587e21,Miles Johns Daniel Marcos,,,,40% 57%,,,,,0% 100%,,,79
http://ufcstats.com/fight-details/84b66bf7fba2d59d,Zach Reese Jackson McVey,,,,77% 79%,,,,,100% ---,,,58
http://ufcstats.com/fight-details/747d922b329b7f30,Steve Garcia David Onama,,,,53% 12%,,,,,--- ---,,,4
http://ufcstats.com/fight-details/9d9390b550d77e06,Waldo Cortes Acosta Ante Delija,,,,70% 44%,,,,,--- 0%,,,97
http://ufcstats.com/fight-details/b0f68344e01884ff,Jeremiah Wells Themba Gorimbo,,,,33% 100%,,,,,50% 66%,,,57
http://ufcstats.com/fight-details/767b78b67c7da17c,Isaac Dulgarian Yadier del Valle,,,,0% 100%,,,,,0% ---,,,16
http://ufcstats.com/fight-details/71c8ca7442bcb757,Charles Radtke Daniel Frunza,,,,64% 30%,,,,,100% ---,,,223
http://ufcstats.com/fight-details/f41c2c82d5117230,Allan Nascimento Cody Durden,,,,44% 49%,,,,,0% 50%,,,0
